"0xB70192B2C746326Ea3A57ABFeBf7FD55AE39f1DE","v0.7.4+commit.3f05b770","StatelessLogger.sol","0.7.4"
"0xc49bc54b3f84edfa2763ad72304e0097bad9cf63","v0.7.4+commit.3f05b770","MolZap.sol","0.7.4"
"0x0487ac46bd41f4b734e08eab479330e3bd9b6cf5","v0.7.4+commit.3f05b770","Flash.sol","0.7.4"
"0x29b0aac8b07ef2473bfdca859c9c30fdddd6bf81","v0.7.4+commit.3f05b770","SimpleERC20.sol","0.7.4"
"0xcf5d62d406cb05e008eb48bbf2977f1161729d6e","v0.7.4+commit.3f05b770","SpringField.sol","0.7.4"
"0x54f3b5df9b3246f95f1a4f404f4bcfcbac60b626","v0.7.4+commit.3f05b770","SpringField__1.sol","0.7.4"
"0xdec5c11d8b9fc565a9d9ffefb8eb536456a5cc85","v0.7.4+commit.3f05b770","ServiceReceiver.sol","0.7.4"
"0xf5dba3e8c78c69e5d133f73a2b077d2abced49c1","v0.7.4+commit.3f05b770","TokenMine.sol","0.7.4"
"0x90bfc7d2c9c064b6c0e6aa446E19aae73a12c2e4","v0.7.4+commit.3f05b770","SaffronLPBalanceToken.sol","0.7.4"
"0xb753428af26E81097e7fD17f40c88aaA3E04902c","v0.7.4+commit.3f05b770","SFI.sol","0.7.4"
"0x82c7B218eba69BfCEeE54Ea5DAa3BdB8a2848109","v0.7.4+commit.3f05b770","DAI_Compound_Adapter.sol","0.7.4"
"0xf5136e0b8ac79cb0fd10e2f6ee35f54a2e152b4a","v0.7.4+commit.3f05b770","LexToken.sol","0.7.4"
"0x2bd9344bb2ebf4a62f05c2497254ece009f18e5b","v0.7.4+commit.3f05b770","LexToken__1.sol","0.7.4"
"0x1c21be48e7640e77567b856ce5a185bc5e91208e","v0.7.4+commit.3f05b770","SpringField__5.sol","0.7.4"
"0xc9f9de264cd16fd0e5b3fb4c1b276549f70814c7","v0.7.4+commit.3f05b770","UnilayerStake.sol","0.7.4"
"0xec32e58223baeb657b94be2984c29843145cb05b","v0.7.4+commit.3f05b770","ERC721.sol","0.7.4"
"0xdc534208321f0e9cd9c1dd75328e2071395afd63","v0.7.4+commit.3f05b770","NFTWrapper.sol","0.7.4"
